genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
EH_bin.9	33	2141	43	85	8	49	18628	1250	4	90	20	1521	135	6	10	3270	61	257	690007	106	7	13	1039	25	22	6	436	0	4	0	7	7226	12	27	24	9	293	60	24	23	4007	2	125	34	2351	0	1071	13	59	4	8
HA_bin.10	101	61	386	328	966	2230	16	44	161	368	383	30	228	497	899	393	890	276	116	2947	1839	509	138	122	69	8306	28	156	5146	280	57	207	630	216248	72	366	571	111	114	338	314	1275	752	22	80	819	70	126	3262	181	3
HA_bin.11	62	47	8	668092	84	47	38	2	8	118	2	5	158	16	0	406	2	936	444	195	98737	2	8	2	11	1	30	0	6	4	70	8	34	15	0	5	359	184	0	2	194	1973	416	25	1120	28	0	4	130	10	31
HA_bin.13	15506	1063	109	2465	6371	2144	2464	308	33	72	3063	97	15763	2058	4590	6870	35	4453	2211	133	1148	147	47	18815	477	2707	1308	741	1317	301	87	6466	1679143	525	4029	60	19230	412	3049	431	898	499	10269	33	1799	135	245	18853	6079	51	41801
HA_bin.14	4740	24	544	25304	43859	6156	26	2607	876	3027	349	860	5089	2347	15583	1420	4602	360	1610	1048	3906	279	97	440	4510492	11809	736	20452	5635	13814	523	5010	4886	2728	957	991	4008	915	284	486	476	1440	4802	40634	2398	1747	538	5066	16195	105	23
HA_bin.15	116	0	0	0	64	406	10	18	9	182	201	3	33	90	170	228	0	116	29	2	8	565	66	0	58	0	1	6	95	22	12	147	175445	31	0	85	4	78	0	384	199	159	2	16	6	4	199	86	0	68	13
HA_bin.16	14078	18893064	5750	44459	15790	12187	9048	2027	1980	111632	36759	6423	68247	6133	32626	85859380	15547	177695	5510543	72730	1768	33398	14412	5715	3491	2349	798238	501	4916	2312	19993	5895909	17440	11396	6591	19828	77009	9336	3529	82111	39048	19585	43098	2053	32861748	1515	5900	5389	19219	17121	4780
HA_bin.18	3	98	1066	14739	310033	850	4	11	220	466	516	0	589	1236	659	961	0	466	17	91	706	750	185	22	0	7	0	62	188	17	302	33	278	996	0	344	486	1567	22	703	757	271	549	1288	8879	1187	0	5	704	252	3
HA_bin.19	11553	92	170	1347	49	419	136	1003	321	1765	267	144	1991	382	196	2999	15	4609	3082	1994	1218	61	83	12	831	945	91	166	753	961	238	1364	288	322	67	1867	5490	145	73	205	933	380	2981685	764	1716	555	299	598	305	68	92
HA_bin.1	333	929	357	860773	43731	1083	1018	27	268	8318	594	13404	1068	585	1701	1744	366	7946	2273	1062	1251	164	40	1331	17	53	113	37	63	174	235	376	1695	248	159	67	2437	208	88	180	301	638	3196	61	1651	608	126	1152	2887	354	1096
HA_bin.20	16	0	0	42	2	6	0	16	2	58	0	1	44	14	18	74	0	110	56	48	33	2	0	4	21	21	1	1	13	56	0	16	18	17	0	15	140	0	0	11	3	16	346913	12	41	12	0	6	16	8	0
HA_bin.21	10917	62	776	570	2209	451	78	9733	213	823	76	520	7117	1110	1003	94	3139	121	834	1713	12399	48	34	679	25251	27783	295	2683	8544	11581	135	6951	815	591139	828	1940	28037	776	311	574	116	1721	12503	13791	17005	8593	698	9555	48427	335	20371
HA_bin.2	136	78	74	204	941	101	23	256	3	25	48	244	628	17	1321	1473	4	72	1631	8	856745	29	177	11	108	28	45	15	45	16	719	723	434	143	11	85	337	738	62	35	2224	25	98	239	275	383	101	42	816	165	30
HA_bin.3	482	0	734	2273	591	899	14	0	210	627	23	473	1679	1591	1016	32	966	43	842	1654	3257	17	8	438	831	208	274	60	1429	374	23	532	1163	3624690	415	40	32	592	240	837	61	1848	745	4	38	232	657	507	4668	298	1
HA_bin.4	7	2	236	15	1266500	4	9	10	6	1163	1906	53	87024	4	889	1752	91	1496	108	48	1838	2731	606	36	7	15	30	2	8	6	1266	7	11	88	53	961	265742	1147	774	2554	2743	914	46	133	29	192	38	9	668152	554	8
HA_bin.5	35438	930	4073	691042	1927	9891	69680	1497	1650	6449	254	4731	23666	21936	11200	5356	14846	7958	88038	12247	24745	271	131	3065	5733	8321	9625	5854	12089	32264	30322	7131	8518438	8876	658	433	24409	1304	1541	31478	2096	16539	1082458	2445	44744	3157	1684	7771	9019	2443	978
HA_bin.6	291	5	2	16	14	651	20	0	3	0	4	0	14	312	280	0	0	1	49	0	3	1	0	0	167	0	10	0	319	46	7	396	537737	86	0	4	10	0	0	0	0	167	10	0	38	0	1	302	6	0	9
HA_bin.7	144	53	66178	118	175	255	10	35	56	474	343	5	52	369	421	527	30	424	67	535	938	332	120	7	131	103	28	30	6618	303520	82	107	754	2279	47	139	192	98	71	743	401	525	338	155	108	17417	44	130	53	206	15
